parent_key,pair_id,job_id,task,state_id,env_seed,attack_seed,window_start,window_end,condition,category,rationale,output_dir
k5c_rand_butter1,0,520000,butter,0,0,0,90,100,vis_pgd,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter1,0,520001,butter,0,0,0,90,100,random_linf,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter1,0,520002,butter,0,0,1,90,100,vis_pgd,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter1,0,520003,butter,0,0,1,90,100,random_linf,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter1,0,520004,butter,0,0,2,90,100,vis_pgd,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter1,0,520005,butter,0,0,2,90,100,random_linf,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter1,0,520006,butter,0,0,3,90,100,vis_pgd,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter1,0,520007,butter,0,0,3,90,100,random_linf,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter1,0,520008,butter,0,0,4,90,100,vis_pgd,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter1,0,520009,butter,0,0,4,90,100,random_linf,rand_sensitive,"Old RCMD label, butter has 0 windows, cf=0.36",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520010,butter,0,0,0,95,105,vis_pgd,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520011,butter,0,0,0,95,105,random_linf,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520012,butter,0,0,1,95,105,vis_pgd,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520013,butter,0,0,1,95,105,random_linf,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520014,butter,0,0,2,95,105,vis_pgd,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520015,butter,0,0,2,95,105,random_linf,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520016,butter,0,0,3,95,105,vis_pgd,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520017,butter,0,0,3,95,105,random_linf,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520018,butter,0,0,4,95,105,vis_pgd,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_butter2,1,520019,butter,0,0,4,95,105,random_linf,rand_sensitive,"Old RCMD+VPHYS label, cf=0.73",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520020,cream_cheese,2,2,0,65,75,vis_pgd,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520021,cream_cheese,2,2,0,65,75,random_linf,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520022,cream_cheese,2,2,1,65,75,vis_pgd,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520023,cream_cheese,2,2,1,65,75,random_linf,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520024,cream_cheese,2,2,2,65,75,vis_pgd,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520025,cream_cheese,2,2,2,65,75,random_linf,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520026,cream_cheese,2,2,3,65,75,vis_pgd,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520027,cream_cheese,2,2,3,65,75,random_linf,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520028,cream_cheese,2,2,4,65,75,vis_pgd,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_cream,2,520029,cream_cheese,2,2,4,65,75,random_linf,rand_sensitive,"Heuristic: high cf=0.82, cream has 0 rand in pool",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_oj,3,520030,orange_juice,1,1,0,50,60,vis_pgd,rand_sensitive,"Heuristic: high cf=0.73, orange_juice has 0 windows",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
k5c_rand_oj,3,520031,orange_juice,1,1,0,50,60,random_linf,rand_sensitive,"Heuristic: high cf=0.73, orange_juice has 0 windows",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e
