task_key,state_id,seed,window_start,window_end,n_window_steps,actual_max_step,done_before_window,done_inside_window,candidate_source,trace_version,source_snapshot_id,prompt_style,image_preprocess_style,open_convention,qpos_source,clean_open_count,clean_open_frac,raw_gripper_mean,raw_gripper_max,qpos_abs_sum_pre,qpos_abs_sum_window_mean,qpos_abs_sum_window_max,qpos_abs_sum_slope,eef_displacement,candidate_stratum
alphabet_soup,0,0,5,15,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,2,0.182,0.1811,0.9961,0.044156,0.018354,0.041914,-0.0038027,0.019013,high_opportunity
alphabet_soup,0,0,10,20,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,2,0.182,0.1811,0.9961,0.020947,0.005897,0.015859,-0.0012227,0.006161,high_opportunity
alphabet_soup,0,0,15,25,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,1,0.091,0.0906,0.9961,0.005324,0.002772,0.003887,-0.0001803,0.000876,medium_opportunity
alphabet_soup,0,0,20,30,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,2,0.182,0.1811,0.9961,0.00268,0.002712,0.003632,-5.22e-05,0.000274,medium_opportunity
alphabet_soup,0,0,25,35,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,3,0.273,0.2717,0.9961,0.00219,0.003072,0.004044,0.000122,0.000459,medium_opportunity
alphabet_soup,0,0,30,40,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,1,0.091,0.0906,0.9961,0.002949,0.002945,0.004044,-0.0001096,0.00066,medium_opportunity
alphabet_soup,0,0,35,45,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,0,0.0,0.0,0.0,0.004044,0.002135,0.003304,-0.0001717,0.000863,medium_opportunity
alphabet_soup,0,0,40,50,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,0,0.0,0.0,0.0,0.002106,0.001606,0.002014,-7.39e-05,0.00035,medium_opportunity
alphabet_soup,0,0,45,55,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,2,0.182,0.1811,0.9961,0.001658,0.001725,0.003261,0.0001674,0.000815,medium_opportunity
alphabet_soup,0,0,50,60,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,3,0.273,0.2717,0.9961,0.001332,0.002442,0.004022,0.0001445,0.000705,medium_opportunity
alphabet_soup,0,0,55,65,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,5,0.455,0.4528,0.9961,0.003012,0.003718,0.007102,0.0003841,0.002056,medium_opportunity
alphabet_soup,0,0,60,70,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,6,0.545,0.5433,0.9961,0.002406,0.01463,0.036387,0.0033667,0.016833,medium_opportunity
alphabet_soup,0,0,65,75,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,7,0.636,0.6339,0.9961,0.004168,0.024885,0.036387,0.0018922,0.0093,medium_opportunity
alphabet_soup,0,0,70,80,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,9,0.818,0.815,0.9961,0.035906,0.037748,0.066912,0.0030525,0.015222,hard_negative_or_idle
