suite,condition,valid_episode_count,privileged_valid_count,teacher_abstain_count,teacher_label_coverage_rate,usable_for_teacher_timing_eval,usable_for_clean_sr_only
,CLEAN,0,0,0,,False,False
,CLEAN_D5,0,0,0,,False,False
,CONDITION_UNVERIFIED,0,0,0,,False,False
,HOLD_D5_K10,0,0,0,,False,False
,HOLD_MID_K10,0,0,0,,False,False
,HOLD_SC5_K10,0,0,0,,False,False
,HOLD_SG5_K10,0,0,0,,False,False
,NON_CLEAN_OR_ATTACK,0,0,0,,False,False
,RAND,0,0,0,,False,False
,RAND_T10,0,0,0,,False,False
,RAND_TEMPORAL_K10,0,0,0,,False,False
,SHUFFLED,0,0,0,,False,False
,SHUFFLED_T10,0,0,0,,False,False
,SHUFFLED_TEMPORAL_K10,0,0,0,,False,False
,TRUE,0,0,0,,False,False
,TRUE_SINGLE,0,0,0,,False,False
,TRUE_T10,0,0,0,,False,False
,TRUE_TEMPORAL_K10,0,0,0,,False,False
libero_10,CLEAN,0,0,0,,False,False
libero_10,CONDITION_UNVERIFIED,0,0,0,,False,False
libero_10,NON_CLEAN_OR_ATTACK,0,0,0,,False,False
libero_goal,CLEAN,0,0,0,,False,False
libero_goal,CONDITION_UNVERIFIED,0,0,0,,False,False
libero_goal,NON_CLEAN_OR_ATTACK,0,0,0,,False,False
libero_spatial,CLEAN,0,0,0,,False,False
libero_spatial,CONDITION_UNVERIFIED,0,0,0,,False,False
libero_spatial,NON_CLEAN_OR_ATTACK,0,0,0,,False,False
