agentview_frames,agentview_npz_error,artifact_file_count,canonical_key,detector_rows,frame_rows,n_steps,output_dir,overlay_mp4_error,overlay_mp4_frames,problems,raw_mp4_error,raw_mp4_frames,step_rows
351,,12,libero_10|0|10|0|CLEAN,351,351,351,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s10,,351,,,351,351
264,,12,libero_10|0|11|0|CLEAN,264,264,264,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s11,,264,,,264,264
400,,12,libero_10|0|12|0|CLEAN,400,400,400,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s12,,400,,,400,400
264,,12,libero_10|0|13|0|CLEAN,264,264,264,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s13,,264,,,264,264
400,,12,libero_10|0|14|0|CLEAN,400,400,400,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s14,,400,,,400,400
400,,12,libero_10|0|15|0|CLEAN,400,400,400,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s15,,400,,,400,400
400,,12,libero_10|0|16|0|CLEAN,400,400,400,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s16,,400,,,400,400
328,,12,libero_10|0|17|0|CLEAN,328,328,328,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s17,,328,,,328,328
285,,12,libero_10|0|18|0|CLEAN,285,285,285,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s18,,285,,,285,285
257,,12,libero_10|0|19|0|CLEAN,257,257,257,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t00_s19,,257,,,257,257
400,,12,libero_10|1|10|0|CLEAN,400,400,400,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s10,,400,,,400,400
273,,12,libero_10|1|11|0|CLEAN,273,273,273,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s11,,273,,,273,273
240,,12,libero_10|1|12|0|CLEAN,240,240,240,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s12,,240,,,240,240
241,,12,libero_10|1|13|0|CLEAN,241,241,241,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s13,,241,,,241,241
400,,12,libero_10|1|14|0|CLEAN,400,400,400,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s14,,400,,,400,400
278,,12,libero_10|1|15|0|CLEAN,278,278,278,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s15,,278,,,278,278
400,,12,libero_10|1|16|0|CLEAN,400,400,400,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s16,,400,,,400,400
260,,12,libero_10|1|17|0|CLEAN,260,260,260,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s17,,260,,,260,260
316,,12,libero_10|1|18|0|CLEAN,316,316,316,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s18,,316,,,316,316
400,,12,libero_10|1|19|0|CLEAN,400,400,400,/data/liuyu/outputs/cross_suite_clean_train300_s10_19_20260620/libero10_gpu54/libero_10_t01_s19,,400,,,400,400
