task,state_id,steps,success,has_privileged,has_rgb,run_dir
alphabet_soup,0,159,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state0
alphabet_soup,1,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state1
alphabet_soup,2,145,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state2
alphabet_soup,3,165,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state3
alphabet_soup,4,152,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state4
alphabet_soup,5,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state5
alphabet_soup,6,156,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state6
alphabet_soup,7,179,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state7
alphabet_soup,8,152,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state8
alphabet_soup,9,173,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state9
bbq_sauce,0,177,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state0
bbq_sauce,1,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state1
bbq_sauce,2,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state2
bbq_sauce,3,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state3
bbq_sauce,4,147,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state4
bbq_sauce,5,200,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state5
bbq_sauce,6,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state6
bbq_sauce,7,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state7
bbq_sauce,8,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state8
bbq_sauce,9,148,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state9
butter,0,151,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state0
butter,1,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state1
butter,2,208,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state2
butter,3,243,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state3
butter,4,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state4
butter,5,177,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state5
butter,6,235,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state6
butter,7,160,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state7
butter,8,180,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state8
butter,9,150,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state9
chocolate_pudding,0,580,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state0
chocolate_pudding,1,580,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state1
chocolate_pudding,2,330,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state2
chocolate_pudding,3,325,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state3
chocolate_pudding,4,238,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state4
chocolate_pudding,5,177,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state5
chocolate_pudding,6,183,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state6
chocolate_pudding,7,255,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state7
chocolate_pudding,8,300,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state8
chocolate_pudding,9,210,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_state9
cream_cheese,0,163,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_state0
cream_cheese,1,163,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_state1
cream_cheese,2,145,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_state2
cream_cheese,3,155,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_state3
cream_cheese,4,187,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_state4
cream_cheese,5,163,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_state5
cream_cheese,6,144,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_state6
