task_key,state_id,window_start,window_end,expected_label,reason
ketchup,1,21,38,positive,"batch3 gold pos, near_closed"
milk,1,8,25,positive,"batch3 gold pos, far_closed"
milk,4,19,36,positive,"batch3 gold pos, near_closed"
butter,5,25,42,positive,"batch3 gold pos, far_closed"
cream_cheese,4,28,45,positive,"batch3 gold pos, near_closed"
bbq_sauce,9,22,39,positive,"batch3 gold pos, far_closed"
ketchup,0,16,33,positive,"batch1 gold pos, far_closed"
ketchup,5,9,26,negative,"batch3 gold neg, far_closed"
milk,5,25,42,negative,"batch3 gold neg, far_closed"
bbq_sauce,5,27,44,negative,"batch3 gold neg, near_closed"
salad_dressing,0,7,24,negative,"batch3 gold neg, far_closed"
ketchup,2,15,32,negative,"batch4 hard neg, far_closed"
ketchup,3,25,42,negative,"batch4 hard neg, near_closed"
tomato_sauce,1,23,40,negative,"batch3b neg, near_closed"
