eps_raw_pixels,processor_name,image_mean_c,image_std_c,eps_processor_c,effective_raw_eps_recovered,notes
4,DINOv2 R,0.485,0.229,0.0685,4.00,per-channel; min across R/G/B selects most-constrained
4,DINOv2 G,0.456,0.224,0.0700,4.00,
4,DINOv2 B,0.406,0.225,0.0697,4.00,
4,SigLIP R,0.5,0.5,0.0314,4.00,SigLIP is last normalization → canonical for EPS conversion
4,SigLIP G,0.5,0.5,0.0314,4.00,
4,SigLIP B,0.5,0.5,0.0314,4.00,
8,DINOv2 R,0.485,0.229,0.1370,8.00,
8,DINOv2 G,0.456,0.224,0.1400,8.00,
8,DINOv2 B,0.406,0.225,0.1394,8.00,
8,SigLIP R,0.5,0.5,0.0627,8.00,default
8,SigLIP G,0.5,0.5,0.0627,8.00,default
8,SigLIP B,0.5,0.5,0.0627,8.00,default
12,DINOv2 R,0.485,0.229,0.2055,12.00,
12,DINOv2 G,0.456,0.224,0.2100,12.00,
12,DINOv2 B,0.406,0.225,0.2092,12.00,
12,SigLIP R,0.5,0.5,0.0941,12.00,
12,SigLIP G,0.5,0.5,0.0941,12.00,
12,SigLIP B,0.5,0.5,0.0941,12.00,
16,DINOv2 R,0.485,0.229,0.2740,16.00,
16,DINOv2 G,0.456,0.224,0.2800,16.00,
16,DINOv2 B,0.406,0.225,0.2789,16.00,
16,SigLIP R,0.5,0.5,0.1255,16.00,
16,SigLIP G,0.5,0.5,0.1255,16.00,
16,SigLIP B,0.5,0.5,0.1255,16.00,
# Legacy comparison — old code used EPS=4/255=0.0157 directly in processor space:
# That's equivalent to ~2.0 raw pixel values with SigLIP std=0.5
# Conversion: raw = eps_proc * 255 * std = 0.0157 * 255 * 0.5 = 2.0
# The old default was therefore ~4x weaker than standard 8-pixel adversarial budget.
