task,condition,state,triggers,attack_steps,success,total_steps
cream_cheese,clean,s0,10,0,True,326
cream_cheese,clean,s1,32,0,True,326
cream_cheese,clean,s2,0,0,True,290
cream_cheese,sus30,s0,13,92,False,427
cream_cheese,sus30,s1,66,131,False,290
cream_cheese,sus30,s2,0,0,True,145
ketchup,clean,s0,96,0,True,169
ketchup,clean,s1,35,0,True,190
ketchup,clean,s2,43,0,True,150
ketchup,sus30,s0,199,253,False,290
ketchup,sus30,s1,131,216,False,290
ketchup,sus30,s2,183,187,False,290
salad_dressing,clean,s0,0,0,True,131
salad_dressing,clean,s1,29,0,True,134
salad_dressing,clean,s2,42,0,True,121
salad_dressing,sus30,s0,0,0,True,131
salad_dressing,sus30,s1,29,37,True,134
salad_dressing,sus30,s2,206,245,False,290
tomato_sauce,clean,s0,8,0,True,190
tomato_sauce,clean,s1,5,0,True,193
tomato_sauce,clean,s2,10,0,True,217
tomato_sauce,sus30,s0,13,180,False,290
tomato_sauce,sus30,s1,10,180,False,290
tomato_sauce,sus30,s2,7,61,True,151
