sample_id,source_batch,task_key,state_id,seed,run_id,condition,candidate_role,phase_bin_proxy,window_start,window_end,trigger_step,gripper_qpos_at_trigger,gripper_width_at_trigger,gripper_command_at_trigger,eef_speed_mean_pre,open_streak_pre,close_streak_pre,phase_gate_score,hazard_score,image_trigger_path,image_trigger_minus4_path,image_trigger_minus8_path,image_camera_name,visual_available,missing_visual_reason,global_embedding_path,crop_embedding_path,visual_encoder_name,visual_feature_dim,label_vulnerability_ready,label_physical_response,label_task_failure,label_control_negative,label_status,label_source,denominator_status,provenance_status,infra_status,leakage_audit_pass
batch2b_alphabet_soup_s2_w11_28,batch2b,alphabet_soup,2,,,label_source,,,11,28,11,,,,,,,,,/data/liuyu/outputs\alphabet_soup\state_2\rgb\step_000011.png,/data/liuyu/outputs\alphabet_soup\state_2\rgb\step_000007.png,/data/liuyu/outputs\alphabet_soup\state_2\rgb\step_000003.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch2b,,,,unknown
batch3_alphabet_soup_s4_w4_21,batch3,alphabet_soup,4,,,label_source,,,4,21,4,,,,,,,,,/data/liuyu/outputs\alphabet_soup\state_4\rgb\step_000004.png,/data/liuyu/outputs\alphabet_soup\state_4\rgb\step_000000.png,/data/liuyu/outputs\alphabet_soup\state_4\rgb\step_000000.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch3,,,,unknown
batch2b_bbq_sauce_s0_w25_42,batch2b,bbq_sauce,0,,,label_source,,,25,42,25,,,,,,,,,/data/liuyu/outputs\bbq_sauce\state_0\rgb\step_000025.png,/data/liuyu/outputs\bbq_sauce\state_0\rgb\step_000021.png,/data/liuyu/outputs\bbq_sauce\state_0\rgb\step_000017.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,0,,,true,negative,batch2b,,,,unknown
batch2b_bbq_sauce_s4_w14_31,batch2b,bbq_sauce,4,,,label_source,,,14,31,14,,,,,,,,,/data/liuyu/outputs\bbq_sauce\state_4\rgb\step_000014.png,/data/liuyu/outputs\bbq_sauce\state_4\rgb\step_000010.png,/data/liuyu/outputs\bbq_sauce\state_4\rgb\step_000006.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,0,,,true,negative,batch2b,,,,unknown
batch3_bbq_sauce_s5_w27_44,batch3,bbq_sauce,5,,,label_source,,,27,44,27,,,,,,,,,/data/liuyu/outputs\bbq_sauce\state_5\rgb\step_000027.png,/data/liuyu/outputs\bbq_sauce\state_5\rgb\step_000023.png,/data/liuyu/outputs\bbq_sauce\state_5\rgb\step_000019.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,0,,,true,negative,batch3,,,,unknown
batch3_bbq_sauce_s9_w22_39,batch3,bbq_sauce,9,,,label_source,,,22,39,22,,,,,,,,,/data/liuyu/outputs\bbq_sauce\state_9\rgb\step_000022.png,/data/liuyu/outputs\bbq_sauce\state_9\rgb\step_000018.png,/data/liuyu/outputs\bbq_sauce\state_9\rgb\step_000014.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch3,,,,unknown
batch1_butter_s0_w29_46,batch1,butter,0,,,label_source,,,29,46,29,,,,,,,,,/data/liuyu/outputs\butter\state_0\rgb\step_000029.png,/data/liuyu/outputs\butter\state_0\rgb\step_000025.png,/data/liuyu/outputs\butter\state_0\rgb\step_000021.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch1,,,,unknown
batch2b_butter_s0_w32_49,batch2b,butter,0,,,label_source,,,32,49,32,,,,,,,,,/data/liuyu/outputs\butter\state_0\rgb\step_000032.png,/data/liuyu/outputs\butter\state_0\rgb\step_000028.png,/data/liuyu/outputs\butter\state_0\rgb\step_000024.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,0,,,true,negative,batch2b,,,,unknown
batch2b_butter_s2_w23_40,batch2b,butter,2,,,label_source,,,23,40,23,,,,,,,,,/data/liuyu/outputs\butter\state_2\rgb\step_000023.png,/data/liuyu/outputs\butter\state_2\rgb\step_000019.png,/data/liuyu/outputs\butter\state_2\rgb\step_000015.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch2b,,,,unknown
batch3_butter_s5_w25_42,batch3,butter,5,,,label_source,,,25,42,25,,,,,,,,,/data/liuyu/outputs\butter\state_5\rgb\step_000025.png,/data/liuyu/outputs\butter\state_5\rgb\step_000021.png,/data/liuyu/outputs\butter\state_5\rgb\step_000017.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch3,,,,unknown
batch3_cream_cheese_s4_w28_45,batch3,cream_cheese,4,,,label_source,,,28,45,28,,,,,,,,,/data/liuyu/outputs\cream_cheese\state_4\rgb\step_000028.png,/data/liuyu/outputs\cream_cheese\state_4\rgb\step_000024.png,/data/liuyu/outputs\cream_cheese\state_4\rgb\step_000020.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch3,,,,unknown
batch1_ketchup_s0_w16_33,batch1,ketchup,0,,,label_source,,,16,33,16,,,,,,,,,/data/liuyu/outputs\ketchup\state_0\rgb\step_000016.png,/data/liuyu/outputs\ketchup\state_0\rgb\step_000012.png,/data/liuyu/outputs\ketchup\state_0\rgb\step_000008.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch1,,,,unknown
batch2b_ketchup_s1_w28_45,batch2b,ketchup,1,,,label_source,,,28,45,28,,,,,,,,,/data/liuyu/outputs\ketchup\state_1\rgb\step_000028.png,/data/liuyu/outputs\ketchup\state_1\rgb\step_000024.png,/data/liuyu/outputs\ketchup\state_1\rgb\step_000020.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,0,,,true,negative,batch2b,,,,unknown
batch3_ketchup_s1_w21_38,batch3,ketchup,1,,,label_source,,,21,38,21,,,,,,,,,/data/liuyu/outputs\ketchup\state_1\rgb\step_000021.png,/data/liuyu/outputs\ketchup\state_1\rgb\step_000017.png,/data/liuyu/outputs\ketchup\state_1\rgb\step_000013.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch3,,,,unknown
batch3_ketchup_s5_w9_26,batch3,ketchup,5,,,label_source,,,9,26,9,,,,,,,,,/data/liuyu/outputs\ketchup\state_5\rgb\step_000009.png,/data/liuyu/outputs\ketchup\state_5\rgb\step_000005.png,/data/liuyu/outputs\ketchup\state_5\rgb\step_000001.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,0,,,true,negative,batch3,,,,unknown
batch3_milk_s1_w8_25,batch3,milk,1,,,label_source,,,8,25,8,,,,,,,,,/data/liuyu/outputs\milk\state_1\rgb\step_000008.png,/data/liuyu/outputs\milk\state_1\rgb\step_000004.png,/data/liuyu/outputs\milk\state_1\rgb\step_000000.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch3,,,,unknown
batch3_milk_s4_w19_36,batch3,milk,4,,,label_source,,,19,36,19,,,,,,,,,/data/liuyu/outputs\milk\state_4\rgb\step_000019.png,/data/liuyu/outputs\milk\state_4\rgb\step_000015.png,/data/liuyu/outputs\milk\state_4\rgb\step_000011.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,1,,,false,positive,batch3,,,,unknown
batch3_milk_s5_w25_42,batch3,milk,5,,,label_source,,,25,42,25,,,,,,,,,/data/liuyu/outputs\milk\state_5\rgb\step_000025.png,/data/liuyu/outputs\milk\state_5\rgb\step_000021.png,/data/liuyu/outputs\milk\state_5\rgb\step_000017.png,rgb,false,missing_trigger|missing_trigger_minus4|missing_trigger_minus8,,,,,0,,,true,negative,batch3,,,,unknown
