diagnostic_cell_id,task_idx,state_id,perturbation_template,perturbation_seed,dx_m,dy_m,dyaw_rad,batch,usage,allow_training,allow_dev_selection,assigned_gpu
A_t0_s28_P0,0,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t0_s29_P0,0,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t0_s30_P0,0,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t0_s31_P0,0,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t0_s32_P0,0,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t0_s33_P0,0,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t0_s34_P0,0,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t0_s35_P0,0,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t0_s36_P0,0,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t0_s37_P0,0,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t1_s28_P0,1,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t1_s29_P0,1,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t1_s30_P0,1,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t1_s31_P0,1,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t1_s32_P0,1,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t1_s33_P0,1,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t1_s34_P0,1,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t1_s35_P0,1,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t1_s36_P0,1,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t1_s37_P0,1,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t2_s28_P0,2,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t2_s29_P0,2,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t2_s30_P0,2,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t2_s31_P0,2,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t2_s32_P0,2,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t2_s33_P0,2,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t2_s34_P0,2,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t2_s35_P0,2,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t2_s36_P0,2,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t2_s37_P0,2,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t3_s28_P0,3,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t3_s29_P0,3,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t3_s30_P0,3,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t3_s31_P0,3,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t3_s32_P0,3,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t3_s33_P0,3,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t3_s34_P0,3,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t3_s35_P0,3,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t3_s36_P0,3,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t3_s37_P0,3,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t4_s28_P0,4,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t4_s29_P0,4,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t4_s30_P0,4,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t4_s31_P0,4,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t4_s32_P0,4,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t4_s33_P0,4,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t4_s34_P0,4,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t4_s35_P0,4,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t4_s36_P0,4,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t4_s37_P0,4,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t5_s28_P0,5,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t5_s29_P0,5,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t5_s30_P0,5,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t5_s31_P0,5,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t5_s32_P0,5,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t5_s33_P0,5,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t5_s34_P0,5,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t5_s35_P0,5,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t5_s36_P0,5,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t5_s37_P0,5,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t6_s28_P0,6,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t6_s29_P0,6,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t6_s30_P0,6,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t6_s31_P0,6,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t6_s32_P0,6,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t6_s33_P0,6,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t6_s34_P0,6,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t6_s35_P0,6,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t6_s36_P0,6,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t6_s37_P0,6,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t7_s28_P0,7,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t7_s29_P0,7,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t7_s30_P0,7,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t7_s31_P0,7,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t7_s32_P0,7,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t7_s33_P0,7,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t7_s34_P0,7,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t7_s35_P0,7,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t7_s36_P0,7,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t7_s37_P0,7,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t8_s28_P0,8,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t8_s29_P0,8,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t8_s30_P0,8,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t8_s31_P0,8,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t8_s32_P0,8,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t8_s33_P0,8,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t8_s34_P0,8,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t8_s35_P0,8,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t8_s36_P0,8,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t8_s37_P0,8,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t9_s28_P0,9,28,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t9_s29_P0,9,29,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t9_s30_P0,9,30,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
A_t9_s31_P0,9,31,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,3
A_t9_s32_P0,9,32,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,4
A_t9_s33_P0,9,33,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,5
A_t9_s34_P0,9,34,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,6
A_t9_s35_P0,9,35,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,7
A_t9_s36_P0,9,36,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,1
A_t9_s37_P0,9,37,P0,42,0.0,0.0,0.0,A,DIAGNOSTIC_ONLY,False,False,2
B_t0_s28_P1,0,28,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t0_s29_P2,0,29,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t0_s30_P3,0,30,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t0_s31_P4,0,31,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t0_s32_P1,0,32,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t0_s33_P2,0,33,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t0_s34_P3,0,34,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t0_s35_P4,0,35,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t0_s36_P1,0,36,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t0_s37_P2,0,37,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t1_s28_P2,1,28,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t1_s29_P3,1,29,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t1_s30_P4,1,30,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t1_s31_P1,1,31,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t1_s32_P2,1,32,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t1_s33_P3,1,33,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t1_s34_P4,1,34,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t1_s35_P1,1,35,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t1_s36_P2,1,36,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t1_s37_P3,1,37,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t2_s28_P3,2,28,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t2_s29_P4,2,29,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t2_s30_P1,2,30,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t2_s31_P2,2,31,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t2_s32_P3,2,32,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t2_s33_P4,2,33,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t2_s34_P1,2,34,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t2_s35_P2,2,35,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t2_s36_P3,2,36,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t2_s37_P4,2,37,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t3_s28_P4,3,28,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t3_s29_P1,3,29,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t3_s30_P2,3,30,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t3_s31_P3,3,31,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t3_s32_P4,3,32,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t3_s33_P1,3,33,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t3_s34_P2,3,34,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t3_s35_P3,3,35,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t3_s36_P4,3,36,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t3_s37_P1,3,37,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,7
B_t4_s28_P1,4,28,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,1
B_t4_s29_P2,4,29,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,2
B_t4_s30_P3,4,30,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,3
B_t4_s31_P4,4,31,P4,2003,0.0,-0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,4
B_t4_s32_P1,4,32,P1,2000,0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,5
B_t4_s33_P2,4,33,P2,2001,-0.005,0.0,0.0,B,DIAGNOSTIC_ONLY,False,False,6
B_t4_s34_P3,4,34,P3,2002,0.0,0.005,0.0,B,DIAGNOSTIC_ONLY,False,False,7
